Product Name,Price,Discount Percentage,Currency,Rating,Number of Reviews,Availability Status,Seller Information,Product URL
"ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/70 TGP) FX506HF-HN075W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 kg)","53,990",28%,INR,4.3,444,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-f15-ai-powered-intel-core-i5-11th-gen-11260h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx506hf-hn075w-laptop/p/itmbd858702e076f?pid=COMGS2AJESZQCMRT&lid=LSTCOMGS2AJESZQCMRTZVTWT2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMWqDO7U4xzJK4f42uXYKA6_HPSYN0JXLPLxqciJ9PIXVfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=2rclky4yykvp2ccg1724252829045
"HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fa1351TX Gaming Laptop  (15.6 inch, Performance Blue)","57,990",24%,INR,4.3,28,Available,IndiFlashMart,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1351tx-gaming-laptop/p/itm9ad6649afe111?pid=COMHY8KVNMU2S5QQ&lid=LSTCOMHY8KVNMU2S5QQSFQYGS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMUmRQcW9sLW66mTp03kiY1bspUoz4InDhEwqeNKVIIeWvUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=2rclky4yykvp2ccg1724252829045
"Acer One (2024) Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","24,990",43%,INR,4.2,632,Available,SVPeripherals,https://www.flipkart.com/acer-one-2024-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-ao-14-z-8-415-thin-light-laptop/p/itm34f24cbac6f26?pid=COMGPF5CQ7VDWDT4&lid=LSTCOMGPF5CQ7VDWDT4PET780&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGPF5CQ7VDWDT4.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.65 Kg, With MS Office)","35,990",29%,INR,4.2,162,Only 1 left,LaptopSolutions,https://www.flipkart.com/dell-inspiron-3520-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm2d6ee1804748f?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JNY5ESSQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGJ75HJGFDJ6JN.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"HP 15s (2024) AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","32,990",33%,INR,4.2,389,Available,PETILANTE Online,https://www.flipkart.com/hp-15s-2024-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm59e288d010cef?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESS83R2QP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGAX8EEYFKCESS.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"Lenovo IdeaPad Slim 1 (2024) AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop  (39.62 cm, Cloud Grey, 1.65 kg, With MS Office)","39,990",51%,INR,4.2,414,Only 1 left,R Connect,https://www.flipkart.com/lenovo-ideapad-slim-1-2024-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itm4a6035f502270?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3HFIIQJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGN2YDSFGGXYG3.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","36,990",43%,INR,4.3,239,Available,BUZZINDIA,https://www.flipkart.com/msi-modern-14-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-c7m-062in-thin-light-laptop/p/itm491f6c86ff75c?pid=COMGMV6VNCJ7TTYV&lid=LSTCOMGMV6VNCJ7TTYVJYI44H&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGMV6VNCJ7TTYV.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/70 W) FX706HF-NY040W Gaming Laptop  (17.3 Inch, Graphite Black, 2.60 kg)","57,990",32%,INR,4.3,444,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-w-fx706hf-ny040w-laptop/p/itm5b135cad5c8a9?pid=COMHY74JXH3KZRWM&lid=LSTCOMHY74JXH3KZRWMLLMJRL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMWJ8dsiMK7vtMFYLY1AcZNWsSjGUH9raYtLqNnriM6GRQ891ypMzu4_aryI8_sihJ8%3D&ssid=2rclky4yykvp2ccg1724252829045
"CHUWI Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop  (14 inch, Grey, 1.40 kg)","24,990",50%,INR,4.1,45,Available,TheElefANT,https://www.flipkart.com/chuwi-intel-core-i5-10th-gen-1035g1-16-gb-512-gb-ssd-windows-11-home-corebook-x-grey-laptop/p/itm575d2115bdd15?pid=COMGVGAWPAQFKPJZ&lid=LSTCOMGVGAWPAQFKPJZCYW6TC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGVGAWPAQFKPJZ.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-76G-52H4/ A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","53,990",31%,INR,4.1,202,Available,SVPeripherals,https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-76g-52h4-a715-76g-gaming-laptop/p/itm45fad0c290245?pid=COMGRHJUCYY63HAA&lid=LSTCOMGRHJUCYY63HAA42YLKV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGRHJUCYY63HAA.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) FA566NFR-HN260W Gaming Laptop  (15.6 inch, Graphite Black, 2.30 Kg)","58,990",16%,INR,4,3,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn260w-laptop/p/itm2a919c4c5047a?pid=COMHFT2NBDET7GJX&lid=LSTCOMHFT2NBDET7GJXKL60AC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMV4eGMj75bno7eW5CndjRCIHWhTkJV87e-0E-eeqspSuBhTy0lUJ14SzoMSv_CzLF0%3D&ssid=2rclky4yykvp2ccg1724252829045
"ASUS Vivobook 16X Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) K3605ZC-MBN543WS Gaming Laptop  (16 inch, Indie Black, 1.8 Kg, With MS Office)","69,990",19%,INR,4.4,2,Available,SVPeripherals,https://www.flipkart.com/asus-vivobook-16x-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-k3605zc-mbn543ws-gaming-laptop/p/itm739e07ec40ae0?pid=COMGSUZBJQZGGCJZ&lid=LSTCOMGSUZBJQZGGCJZDULU1R&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMXfsaliC4rRcT9DOogr5FVHMZ834qW9UWlb9Y3L-YD6AH3Gaq_wzx4HJysDmGalzMk%3D&ssid=2rclky4yykvp2ccg1724252829045
"Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light Laptop  (15.6 Inch, Mineral Grey, 1.70 Kg)","28,660",51%,INR,4.4,3,Available,ElectronicsEstore,https://www.flipkart.com/lenovo-amd-ryzen-3-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm65936d217ef8a?pid=COMGT82X9NYWSXQ7&lid=LSTCOMGT82X9NYWSXQ7FXFDP2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGT82X9NYWSXQ7.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin and Light Laptop  (15.6 Inch, Icelight Silver, 1.70 kg, With MS Office)","33,990",40%,INR,4.3,336,Available,SVPeripherals,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGZKHQ8BXZFBUT.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","41,490",21%,INR,4.2,490,Available,IndiFlashMart,https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itm02564528377fe?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BRCYCYH&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=b_1_15&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGQY48KGHRAF3B.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","41,990",28%,INR,4.3,261,Available,IndiFlashMart,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm2f070129053ed?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGFRHGDB9G3Z9C.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA506NC-HN083W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 Kg)","68,990",13%,INR,4.2,4,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa506nc-hn083w-laptop/p/itm10514ecd2a794?pid=COMHFK2T3KCHKAFU&lid=LSTCOMHFK2T3KCHKAFUOEIOAP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMVvZjnMnvtqta9ROgoT69v2M3EHlqUOBQF0mkkPImU2ZOvN4Mn-dv-pi277bRzMbnY%3D&ssid=2rclky4yykvp2ccg1724252829045
"AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop  (15.6 inch, Space Grey)","16,328",51%,INR,3.8,4,Available,Nuage Techsol Pvt Ltd,https://www.flipkart.com/axl-intel-celeron-dual-core-9th-gen-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3?pid=COMGPXFVFZSH9FYX&lid=LSTCOMGPXFVFZSH9FYXLGV3ST&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMWFEZZJcKQSrYSWLK1GgbI_d4qvSjLRfreqW_4xIpaFlQ%3D%3D&ssid=2rclky4yykvp2ccg1724252829045
"HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and Light Laptop  (15.6 inch, Star Black, 1.69 Kg)","52,990",15%,INR,4.2,126,Available,SVPeripherals,https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMMNYA0K&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGXNZGJV3MEMWM.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"Acer Swift Go 14 EVO OLED (2024) Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-58UB Thin and Light Laptop  (14 Inch, Pure Silver, 1.25 Kg, With MS Office)","56,990",39%,INR,4.3,148,Available,IndiFlashMart,https://www.flipkart.com/acer-swift-go-14-evo-oled-2024-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-sfg14-71-58ub-thin-light-laptop/p/itm0a080194d6dd1?pid=COMGZKGGAHZBA3WY&lid=LSTCOMGZKGGAHZBA3WYWOBYJC&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_20&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGZKGGAHZBA3WY.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA566NCR-HN075W Gaming Laptop  (15.6 inch, Graphite Black, 2.30 Kg)","71,990",17%,INR,4.2,1,Available,SVPeripherals,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa566ncr-hn075w-laptop/p/itmf85ee66cab735?pid=COMHFT2NY5V7RCMK&lid=LSTCOMHFT2NY5V7RCMKJW0ZPL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=en_dDepBncTZi4cxBEn5MnW7YU9j9t1f7uMW0jj-WY-TMWqwwmm8kEHQoNRo8AwHVLJzY2bvFzE-EqUUjkTIPlW4q8iqbiwhGf4dwbXVx7ZSks%3D&ssid=2rclky4yykvp2ccg1724252829045
"Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)","29,990",30%,INR,4.1,43,Available,SVPeripherals,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7452347fa2428?pid=COMHY24RJH2YXVPG&lid=LSTCOMHY24RJH2YXVPGTVAAXW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_22&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMHY24RJH2YXVPG.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop  (14.1 inch, Cloud Silver, 1.3 Kg)","12,990",56%,INR,3.7,160,Only 1 left,SUGSHAANnet,https://www.flipkart.com/walker-intel-celeron-dual-core-n4020-4-gb-128-gb-ssd-windows-11-home-nu14a1-thin-light-laptop/p/itm3d8c664ba317d?pid=COMGT4RVRZZKSHX3&lid=LSTCOMGT4RVRZZKSHX3QIYXNU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGT4RVRZZKSHX3.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
"SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","65,990",20%,INR,4.5,62,Available,RetailNet,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&iid=86251c60-95d5-48b3-a3e7-ffc9dea10c42.COMGZUYDGFJGHZR4.SEARCH&ssid=2rclky4yykvp2ccg1724252829045
